# omega P
# Hz dB
102539.0625 -0.5897
312500.0 -10.1897
517578.125 -14.9897
722656.25 -18.5897
932617.1875 -20.9897
1142578.125 -22.9897
1347656.25 -24.5897
1557617.1875 -25.7897
1762695.3125 -27.3897
1972656.25 -28.5897
2177734.375 -29.7897
2387695.3125 -30.9897
2592773.4375 -31.7897
2802734.375 -32.1897
3012695.3125 -33.3897
3217773.4375 -34.1897
3427734.375 -34.5897
3637695.3125 -35.7897
3837890.625 -36.9897
4047851.5625 -37.3897
